HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base_Stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,Type 1,Type 2,Classification_info,Forms,gen,Is_Legendary,Is_Mythical,Is_Ultra_Beast,number_immune,number_not_effective,number_normal,number_super_effective
180,81,179,47,162,44,575,0.23,0.44,0.56,2.04,2.1,1.9,0.45,3.59,0.13,0.97,1.88,0.52,3.79,2.1,0.0,0.25,2.02,0.46,144,3.3,127.4,73.0,54,7.67,4483,219,Anticipation; Healer; Magic Bounce,Ghost,Ice,Pig Monkey,Alolan Muk,7,1,1,0,1,5,11,1
81,74,100,75,50,35,312,1.0,4.0,0.53,2.51,3.47,0.47,0.57,0.32,3.85,0.99,0.0,0.61,0.25,2.0,1.0,0.56,1.87,2.08,471,1.8,84.9,705.7,6,,5174,228,Hustle; Sand Rush; Volt Absorb,Dark,Dragon,Beaver,Alolan Vulpix,9,1,1,1,0,5,14,5
72,78,80,117,47,43,635,0.99,0.45,3.35,0.49,1.9,0.25,4.0,0.06,1.0,3.3,0.48,1.0,3.83,1.0,0.5,1.01,0.34,0.57,374,7.3,460.3,109.2,29,4.19,30720,38,Magic Guard; Tinted Lens; Wonder Skin,Dragon,Dragon,Wish,Plant Cloak; Sandy Cloak; Trash Cloak,2,1,1,0,3,9,16,7
58,67,81,94,87,62,505,0.12,1.03,0.28,0.5,4.0,1.04,0.39,2.64,1.0,4.0,1.95,4.0,1.98,0.0,0.0,0.25,0.29,0.61,169,0.9,745.4,282.0,219,3.99,28927,94,Aroma Veil; Female; Female Abilities; Gluttony; Hidden; Lingering Aroma; Thick Fat,Normal,Ground,Life,Alolan Graveler,1,0,0,0,0,5,9,3
41,103,108,56,86,55,632,0.11,2.0,0.51,0.46,1.0,1.91,0.98,3.86,1.07,4.0,1.03,0.51,1.96,1.0,1.0,0.25,1.02,0.45,229,1.3,220.6,17.5,52,,5253,149,Frisk; Toxic Chain,Water,Psychic,Bite,Mega Blaziken,5,1,0,0,0,6,7,5
47,163,126,86,126,43,533,0.49,1.01,1.88,1.97,0.43,0.52,0.55,0.5,0.06,2.89,0.97,1.97,0.55,1.0,0.1,0.99,2.01,3.07,1018,0.7,194.7,53.0,129,1.03,7506,237,Available; Bulletproof; Overcoat; Soundproof,Rock,Psychic,Dog,Average Size; Small Size; Large Size; Super Size,5,0,0,1,0,3,10,1
53,121,94,58,80,62,424,1.0,4.0,0.59,1.0,0.5,0.52,2.05,0.49,1.97,3.67,0.0,0.32,0.46,1.0,0.6,0.99,0.44,1.01,465,0.7,58.1,542.2,36,19.57,4867,96,Flame Body; Flash Fire; Not Available,Flying,Bug,Chimp,Mega Mewtwo X; Mega Mewtwo Y,6,1,0,1,1,5,7,1
1,64,71,57,65,49,410,0.0,3.59,0.25,0.0,2.93,2.09,2.06,2.11,0.96,1.03,0.49,0.49,0.97,1.0,0.6,0.37,0.43,3.44,353,2.9,534.5,44.3,181,20.05,5555,88,Fluffy; Sand Rush,Rock,Bug,Wily,Hisuian Qwilfish,3,0,0,1,3,4,7,5
51,44,98,61,91,103,357,0.0,1.03,1.04,0.0,0.25,0.48,3.78,4.0,2.01,0.99,1.97,3.3,1.01,1.0,1.9,0.46,1.91,0.59,1638,0.3,628.1,255.8,183,49.2,3977,3,Flash Fire; Heatproof; Steam Engine,Fighting,Bug,Moone,Alolan Raticate,6,0,0,0,0,5,13,2
89,116,76,73,88,130,414,1.0,4.0,0.49,1.0,1.0,3.63,0.5,2.07,0.55,0.49,1.02,0.58,1.88,1.0,0.0,0.53,2.05,1.02,447,1.9,549.0,48.1,51,45.57,7912,164,Dark Aura,Fairy,,Fairy,Galarian Linoone,9,1,0,1,1,6,7,3
84,136,114,100,158,73,425,0.0,1.97,1.0,0.54,4.0,1.0,0.23,0.58,1.99,1.04,0.49,1.06,3.07,0.0,0.5,0.55,0.5,0.44,331,0.2,607.4,23.0,244,21.99,5411,3,Available; Honey Gather; Shield Dust; Sweet Veil,Psychic,Dark,Diapered,Mega Scizor,2,0,0,0,2,2,6,4
80,78,77,111,150,69,491,0.51,0.99,1.01,2.06,4.0,0.51,0.39,2.44,2.02,2.03,0.99,0.5,1.01,1.0,0.5,0.99,1.99,0.36,1515,1.1,329.8,444.0,240,17.18,6296,80,Available; Dazzling; Strong Jaw; Wonder Skin,Grass,Poison,Water Lizard,White Kyurem; Black Kyurem,9,1,0,0,2,5,8,2
47,71,80,82,82,77,392,0.3,0.25,2.05,0.55,3.94,0.44,2.08,3.09,2.02,0.97,1.92,1.07,2.0,1.9,1.0,0.25,0.32,0.37,684,1.1,188.7,57.4,113,88.14,5813,58,Available; Big Pecks; Overcoat; Weak Armor,Fighting,Dark,Perfume,Sunny Form; Rainy Form; Snowy Form,9,1,1,0,2,7,9,3
86,44,48,59,36,87,550,0.53,2.06,0.99,1.0,4.0,1.01,1.02,2.08,1.04,4.0,1.01,0.59,1.03,1.0,1.9,0.99,0.54,0.25,2397,12.2,245.5,79.1,254,5.58,5501,61,Grass Pelt; Sap Sipper,Rock,,Frill,Baile Style; Pom-Pom Style; Pa'u Style; Sensu Style,8,0,1,0,0,5,7,7
86,115,98,83,86,128,420,0.16,0.46,0.98,2.12,4.0,1.94,2.04,0.22,0.11,0.46,0.99,0.5,3.67,1.0,0.1,1.87,2.06,0.52,999,0.9,42.9,204.7,16,5.16,4686,222,Ice Body; Slush Rush; Water Absorb,Fire,Fire,Barnacle,Mega Gallade,1,1,1,1,2,1,9,7
52,38,116,42,119,79,453,0.03,0.96,1.01,1.01,1.87,1.93,0.99,2.06,1.0,0.96,1.99,0.33,0.53,2.0,1.9,0.39,0.47,0.99,1954,2.2,414.2,80.1,185,86.74,4693,493,Hyper Cutter; Sheer Force; Shell Armor,Electric,Fire,Face,Average Size; Small Size; Large Size; Super Size,3,1,0,0,1,1,14,7
93,59,60,45,90,22,511,0.56,4.0,1.0,0.46,4.0,1.0,0.46,0.47,0.99,0.4,0.01,2.05,2.02,1.0,0.0,0.57,0.99,0.28,2013,4.9,327.3,47.2,239,19.53,5513,179,Hydration; Swift Swim,Steel,Fire,Bug Catcher,Mega Mawile,1,1,0,0,2,9,7,7
70,33,142,95,104,101,593,0.12,1.97,0.61,2.0,0.25,1.03,1.02,2.07,2.09,0.95,2.04,0.29,3.91,2.0,0.1,0.54,0.99,1.93,496,2.8,136.3,22.2,28,22.61,8466,33,Rattled; Roaming; Roaming Form Abilities; Run Away,Water,Steel,Constraint,Galarian Slowpoke,5,1,0,0,3,1,10,1
75,49,107,81,47,82,238,1.0,0.49,0.56,0.98,0.25,4.0,1.04,0.05,3.72,0.99,0.42,0.25,1.93,1.0,0.5,0.44,1.0,0.51,228,0.4,22.3,124.8,15,78.59,30720,30,Available; Defiant; Inner Focus; Pressure,Flying,Ice,Mud Fish,White Kyurem; Black Kyurem,4,1,0,1,3,6,7,1
36,83,130,81,60,93,512,1.0,1.99,1.94,2.99,0.25,0.42,3.64,0.46,1.04,1.96,0.96,3.12,1.02,1.0,2.0,0.5,0.45,3.21,738,5.5,122.1,3.0,238,83.98,7903,51,Intimidate; Reckless,Steel,Poison,Whiskers,Mega Latios,8,0,0,0,1,5,9,4
86,102,198,48,44,69,372,1.0,4.0,0.53,0.49,0.52,0.51,3.96,0.12,0.01,1.04,1.91,0.32,3.66,1.9,2.0,0.99,0.55,1.82,1340,4.4,453.5,7.6,73,,6628,200,Frisk; Levitate,Normal,Bug,Balloon,Plant Cloak; Sandy Cloak; Trash Cloak,5,0,1,0,0,5,9,3
77,104,36,55,105,79,295,0.98,1.05,3.82,0.52,4.0,3.58,3.84,0.46,1.02,0.39,0.0,4.0,2.95,0.0,0.0,0.99,0.49,0.52,1495,0.7,2015.8,534.2,3,48.1,18591,251,Steadfast; Scrappy,Fairy,Grass,Freezing,Normal Forme; Attack Forme; Defense Forme; Speed Forme,4,0,1,1,0,4,16,4
21,133,114,129,145,75,478,0.0,0.99,2.06,0.18,1.01,1.03,0.16,3.32,2.01,4.0,0.46,1.89,0.35,1.0,1.9,0.74,0.56,1.04,1070,0.8,771.1,46.9,3,81.81,4890,12,Levitate,Water,Normal,Rabbit,Mega Latios,9,0,1,1,3,4,12,7
12,96,77,55,76,79,588,0.51,0.66,1.94,0.5,4.0,4.0,0.24,0.0,2.0,4.0,0.41,1.04,1.02,2.1,1.0,0.43,1.95,0.69,215,0.7,74.0,124.0,44,1.18,5197,129,Perish Body; Weak Armor,Dragon,Bug,Courting,Galarian Zapdos,6,1,0,0,1,2,12,3
54,103,101,63,39,53,515,1.0,0.99,1.0,0.99,2.14,0.5,1.97,0.15,4.0,0.38,2.01,4.0,1.04,0.0,2.0,1.01,0.99,0.52,5547,0.5,148.9,747.5,77,53.15,11385,41,Hyper Cutter; Intimidate; Sheer Force,Normal,Grass,Disguise,Normal Form; Terastal Form; Stellar Form,8,0,0,0,0,10,8,5
52,116,76,51,77,62,391,0.35,0.6,2.54,0.0,4.0,0.77,1.01,2.14,2.04,2.13,0.0,0.5,0.57,0.0,0.5,1.0,0.25,0.41,585,3.7,38.2,213.0,8,,4598,169,Available; Competitive; Cute Charm; Marvel Scale,Bug,Poison,Swollen,50% Forme; 10% Forme; Complete Forme,5,1,0,0,3,10,7,5
72,88,114,39,82,84,421,0.45,0.52,4.0,0.46,0.28,4.0,1.97,1.03,0.0,2.63,0.98,3.66,3.6,2.0,1.8,0.56,0.31,1.02,501,3.8,185.8,999.9,238,3.07,5051,3,Oblivious; Snow Cloak; Thick Fat,Fairy,Dragon,Cotton Bloom,Mega Latias,4,0,0,1,1,4,7,3
79,89,125,120,53,46,550,0.5,4.0,0.73,2.4,1.94,2.0,1.03,0.98,2.03,1.02,0.0,3.06,0.95,0.6,0.0,1.01,0.48,0.42,453,1.5,398.3,51.8,31,88.14,13321,192,Poison Point; Unaware; Water Absorb,Poison,Grass,Deep Black,Normal Forme; Attack Forme; Defense Forme; Speed Forme,9,0,0,0,2,3,12,4
62,113,111,76,137,79,420,0.99,2.12,0.98,0.0,0.51,3.95,1.02,0.6,0.63,0.55,1.0,4.0,2.03,0.0,2.0,0.44,0.52,1.94,632,1.2,26.4,85.5,55,83.65,16210,62,Aroma Veil; Female; Female Abilities; Gluttony; Hidden; Lingering Aroma; Thick Fat,Grass,Flying,Wild Bull,Galarian Zigzagoon,9,0,1,0,0,4,5,3
137,103,167,81,129,79,442,0.05,2.13,0.96,0.0,1.01,1.86,0.49,1.01,4.0,0.65,0.48,0.28,1.03,0.2,1.0,1.01,0.99,1.98,459,2.0,1395.4,5.5,3,5.62,19780,3,Gluttony; Sticky Hold; Supersweet Syrup,Rock,Ground,Garden,Mega Steelix,8,0,0,0,3,0,12,5
73,57,133,56,66,98,484,0.54,0.25,0.25,0.21,0.31,1.95,3.9,0.99,2.02,4.0,1.01,0.98,1.94,2.0,1.0,1.0,2.01,0.99,285,3.2,472.0,74.1,76,20.12,5445,14,Available; Light Metal; Swarm; Technician,Electric,Ice,Scaly,Mega Camerupt,3,0,1,0,0,2,13,7
52,104,142,55,88,37,521,1.0,2.14,0.95,0.99,1.02,0.45,2.1,0.49,1.0,3.39,1.94,1.01,3.94,0.4,0.0,2.0,0.61,0.48,538,0.9,1979.3,803.7,111,20.21,10022,53,Available; Chlorophyll; Leaf Guard; Own Tempo,Grass,Fire,Bug Catcher,Family of Four; Family of Three,1,0,1,1,1,8,9,1
42,55,87,51,93,49,491,0.5,0.99,1.05,3.58,1.99,0.47,2.02,1.02,2.08,0.46,0.43,0.5,1.01,0.1,0.0,0.5,0.99,0.72,56,1.7,224.6,63.6,88,,8947,43,Rain Dish; Torrent,Steel,Fighting,Blaze,Altered Forme; Origin Forme,6,0,0,0,2,0,10,2
50,148,100,123,98,56,512,0.0,0.47,4.0,1.99,2.03,1.92,3.28,2.14,0.64,0.39,0.01,0.98,0.51,1.0,1.8,1.94,0.25,1.02,292,4.3,335.3,0.1,42,39.77,3220,138,Available; Ice Body; Snow Cloak; Weak Armor,Water,Fairy,Clamping,White Kyurem; Black Kyurem,5,0,1,0,1,3,8,2
40,66,43,118,67,39,548,1.0,4.0,4.0,0.04,0.33,0.25,1.98,0.05,3.93,1.99,1.0,2.12,1.9,0.4,1.0,0.97,0.25,0.99,653,0.3,20.5,48.9,92,88.14,2678,76,Available; Cursed Body; Snow Cloak,Poison,,Deep Sea,Bloodmoon,8,0,0,1,2,4,9,1
50,34,52,117,116,67,481,1.0,0.57,0.97,3.27,0.51,3.81,1.03,0.52,3.81,1.99,0.44,4.0,3.49,0.1,0.0,0.25,1.87,0.25,1070,1.1,50.7,845.2,3,5.96,30720,37,Chilling Neigh,Electric,Grass,Poison Moth,Mega Tyranitar,2,1,0,0,2,4,8,2
88,57,88,42,112,39,454,1.0,2.0,1.9,0.55,0.25,0.6,0.99,3.41,0.34,2.03,0.0,1.03,0.98,0.0,1.0,1.0,2.02,1.94,304,8.0,20.7,64.7,93,,5564,44,Available; Oblivious; Pressure; Water Veil,Ground,Normal,Ghost Dog,Normal Forme; Attack Forme; Defense Forme; Speed Forme,3,0,1,0,0,3,12,1
57,77,77,58,58,85,292,0.57,1.02,0.48,3.49,1.01,0.99,0.15,0.99,2.02,4.0,0.47,4.0,2.0,0.1,1.0,1.89,0.25,4.0,552,2.6,34.4,252.0,116,,8966,242,Bulletproof; Gluttony; Ripen,Bug,Fighting,Toxic Mouse,Mega Sableye,6,0,0,0,0,10,7,7
48,111,96,62,89,51,443,1.0,1.96,0.34,1.01,0.52,3.77,0.58,1.02,0.59,3.38,1.9,4.0,1.96,1.0,1.0,0.26,0.99,1.97,445,2.2,76.9,8.7,3,48.27,4152,17,Adaptability; Anticipation; Available; Run Away,Ice,Fairy,Devious,Aria Forme; Pirouette Forme,5,1,0,0,1,5,14,3
30,90,46,132,111,28,423,0.0,0.26,2.83,1.98,0.47,1.94,0.27,1.0,2.03,1.04,2.08,0.25,1.92,1.0,1.0,1.01,1.88,0.85,569,28.0,31.5,321.7,214,20.2,7121,84,Hustle; Serene Grace; Super Luck,Poison,Psychic,Spitfire,Alolan Sandshrew,7,0,0,1,0,4,10,3
20,41,72,40,23,35,404,1.0,0.57,2.02,3.56,0.25,0.25,2.05,2.02,2.0,1.95,0.99,0.97,2.07,1.0,1.0,1.92,0.27,0.99,197,1.9,243.6,779.8,3,47.83,10544,90,Chlorophyll; Early Bird; Pickpocket,Ground,Steel,Zen Charm,Aria Forme; Pirouette Forme,5,0,0,1,2,9,12,6
82,74,135,134,94,87,332,1.0,1.02,4.0,0.53,0.47,3.22,0.07,1.99,2.04,2.0,0.0,0.52,0.51,2.0,0.4,0.99,1.0,0.25,133,0.8,62.6,71.0,3,18.72,27356,23,Air Lock,Rock,Dark,Serene,Mega Ampharos,6,0,1,0,1,4,9,2
33,108,82,72,138,68,560,0.11,0.43,0.32,1.97,0.25,2.0,3.48,0.98,1.06,4.0,0.99,0.48,0.59,1.0,0.1,2.04,0.98,0.52,228,3.5,705.3,31.3,236,18.54,5085,63,Disguise,Ice,Flying,Tiny Robin,Mega Tyranitar,7,1,0,1,3,2,9,1
120,107,130,78,174,29,575,0.52,0.5,2.08,0.0,0.35,2.06,0.5,0.64,0.42,1.9,1.01,1.02,0.97,2.0,0.0,0.55,1.0,2.08,1018,4.1,283.0,701.9,7,5.41,5056,37,Battle Armor; Steely Spirit; Tough Claws,Ice,Fire,Tender,Mega Sharpedo,6,1,0,1,1,4,7,3
82,107,62,141,77,47,267,0.99,0.97,1.04,0.23,1.03,0.99,4.0,0.57,0.1,0.98,0.0,0.98,3.56,1.0,0.0,2.0,1.94,0.54,869,0.8,114.6,0.1,21,22.51,27974,179,Leaf Guard,Dragon,,Garden,Mega Sableye,1,0,1,0,2,3,6,2
96,123,76,89,131,43,501,0.99,0.98,1.01,1.99,4.0,0.45,1.97,1.03,4.0,1.97,0.0,1.03,1.92,0.1,1.9,0.55,1.98,3.51,1077,0.1,238.0,0.3,49,23.81,4945,18,Frisk; Opportunist; Speed Boost,Bug,Grass,Family,Mega Kangaskhan,6,0,1,0,1,3,9,2
58,47,26,71,92,97,572,1.0,0.37,1.02,0.0,0.97,0.97,0.47,4.0,1.95,0.54,1.02,0.45,2.12,0.5,1.0,1.0,0.51,1.91,3141,5.6,35.8,61.8,243,80.37,30720,40,Alola Form; Alola Form Abilities; Available; Battle Armor; Cursed Body; Hidden; Lightning Rod; Rock Head,Bug,Water,Superpower,Galarian Moltres,7,1,1,1,0,2,5,3
83,129,48,123,71,60,431,0.51,0.45,3.33,0.99,0.98,0.99,0.51,0.18,0.01,0.98,1.01,0.55,1.01,0.0,1.9,0.25,2.14,2.04,396,0.3,218.3,51.6,10,40.24,28457,126,Available; Sand Veil; Water Compaction,Steel,Psychic,Aurora,Galarian Zigzagoon,2,0,1,0,1,10,9,1
77,56,75,43,64,95,593,0.07,1.04,0.57,0.04,1.81,0.56,1.97,0.57,4.0,3.34,1.94,4.0,0.95,2.0,0.4,0.51,1.01,2.52,349,2.4,710.2,86.2,32,47.77,9935,70,Available; Iron Fist; Mold Breaker; Scrappy,Ice,Fire,Herb,Plant Cloak; Sandy Cloak; Trash Cloak,5,1,0,1,0,5,10,1
152,124,71,118,155,49,598,0.5,1.97,1.0,1.02,2.04,3.22,1.87,0.99,2.0,0.37,2.02,4.0,0.98,0.6,2.0,0.52,1.83,0.46,489,1.3,176.2,85.9,104,,6222,51,Alola Form; Alola Form Abilities; Available; Chlorophyll; Frisk; Harvest; Hidden,Bug,Ground,Neon,Average Size; Small Size; Large Size; Super Size,9,1,0,0,1,5,11,7
60,75,59,99,93,134,538,1.0,0.25,1.0,0.54,0.47,0.68,2.02,0.0,0.52,4.0,0.97,0.54,3.96,2.0,0.5,0.98,0.54,1.2,591,1.7,496.8,913.1,29,25.28,6228,77,Technician,Rock,Electric,Mimicry,White Kyurem; Black Kyurem,4,0,1,1,0,4,10,6
66,111,84,106,117,69,442,1.0,4.0,1.96,0.17,3.72,0.99,2.06,0.58,0.09,1.0,0.99,0.52,0.46,1.0,1.0,0.96,1.84,1.0,370,2.6,30.7,18.1,189,18.19,7282,278,Hyper Cutter; Poison Heal; Sand Veil,Rock,Flying,Hippo,Baile Style; Pom-Pom Style; Pa'u Style; Sensu Style,2,0,0,1,2,2,9,4
70,98,83,74,68,61,514,1.0,1.97,4.0,0.5,0.37,1.03,0.11,0.22,0.0,3.71,0.1,0.47,1.93,1.0,1.8,1.0,2.03,0.46,543,0.4,156.0,186.8,53,17.93,7315,98,Own Tempo; Pickup; Run Away,Psychic,,Mantle,Midday Form; Midnight Form; Dusk Form,3,1,0,1,1,1,13,1
67,39,95,44,71,33,492,0.46,1.02,1.0,1.99,0.49,3.65,1.95,2.74,1.04,0.52,2.03,0.58,1.97,2.0,1.0,0.25,0.98,0.25,576,1.7,157.1,41.8,228,54.89,7984,140,Blaze; Solar Power,Bug,Fairy,Sea Creeper,Mega Gardevoir,6,1,0,0,2,3,12,1
65,55,110,73,104,29,600,0.0,0.44,0.51,0.07,1.01,0.25,0.49,2.1,1.99,1.99,1.01,3.44,3.23,2.0,0.0,1.95,0.98,0.25,229,10.9,482.2,510.4,250,22.51,3864,20,Overcoat; Shed Skin,Dragon,Fire,Poison Bee,Mega Lucario,6,1,0,1,3,6,12,4
45,111,189,69,70,40,516,1.0,2.71,0.49,0.0,0.29,1.92,0.49,1.93,1.99,1.01,0.49,1.02,0.46,1.0,0.4,0.48,0.25,1.01,140,0.9,153.8,164.9,7,19.41,30720,213,Cornerstone Mask; Cornerstone Mask Abilities; Defiant; Hearthflame Mask Abilities; Mold Breaker; Sturdy; Teal Mask Abilities; Terastallised Abilities; Water Absorb; Wellspring Mask Abilities,Electric,Ghost,Thorn Pod,Alolan Rattata,2,1,0,1,2,3,11,7
31,67,92,68,53,94,484,1.0,1.97,0.95,0.52,0.5,1.95,0.96,3.28,0.0,0.44,1.01,0.25,0.97,2.0,0.5,0.99,0.28,0.25,3080,0.1,4.3,92.5,74,81.57,5288,212,Available; Intimidate; Rattled; Run Away,Ghost,Rock,Floating,Mega Pinsir,6,1,1,0,2,5,6,3
62,117,108,56,128,92,595,0.06,0.31,2.07,1.95,3.39,3.61,1.04,4.0,1.99,0.97,0.26,1.94,0.99,0.5,2.0,1.02,1.03,1.91,258,3.0,566.9,5.3,102,8.35,8219,29,Klutz; Limber; Run Away,Ground,Ice,Virtual,Average Size; Small Size; Large Size; Super Size,7,0,0,0,0,4,13,1
69,97,105,51,73,27,298,0.56,2.03,0.55,0.97,0.49,1.96,0.99,2.12,2.0,0.33,0.47,2.07,2.05,0.1,1.0,1.01,1.99,0.47,496,1.4,64.8,55.8,39,3.12,30720,126,Defiant; Torrent,Dark,Steel,Color Swap,Hisuian Arcanine,2,1,1,1,3,3,13,6
44,81,81,77,103,72,503,0.0,1.06,0.55,0.46,0.51,1.97,0.05,0.98,0.6,1.82,1.01,0.38,1.92,1.0,0.5,0.5,0.98,0.48,387,1.7,253.0,16.6,6,,6874,49,Wonder Guard,Ground,,Spirit,Alolan Rattata,5,1,0,0,1,2,12,2
87,85,66,51,81,92,338,0.55,0.65,0.26,0.0,1.96,1.99,0.5,1.02,1.01,0.42,2.02,0.59,0.99,0.0,1.9,0.54,0.99,1.9,225,2.4,191.5,21.6,248,43.45,20086,241,Hidden; Low Key Form; Low Key Form Abilities; Minus; Plus; Punk Rock; Technician,Fire,Poison,Grudge,White Kyurem; Black Kyurem,2,1,1,0,0,5,16,6
96,90,56,68,47,53,407,0.99,0.43,1.01,4.0,1.9,0.55,0.98,1.01,0.12,1.01,0.98,1.0,0.96,1.0,0.5,1.0,1.95,1.03,161,2.2,1831.8,655.3,3,44.3,15530,140,Regenerator; Shed Skin,Ground,Dark,Rainbow,Zero Form; Hero Form,2,0,0,0,3,2,11,7
41,65,84,75,45,84,500,0.47,4.0,0.96,0.0,3.12,3.2,3.54,4.0,4.0,0.56,0.0,0.25,1.04,1.0,1.0,0.99,0.52,0.97,2381,0.1,218.2,115.1,135,77.13,30054,3,Victory Star,Grass,Ice,Kite,Mega Beedrill,4,1,1,0,1,3,5,2
77,76,126,79,107,96,610,0.56,2.07,1.0,0.47,0.44,1.95,0.48,3.88,4.0,0.48,1.03,3.66,0.48,1.0,1.0,0.99,0.54,0.99,2699,1.8,445.5,86.8,42,74.82,3792,121,Iron Fist,Ground,Flying,Seagull,Alolan Exeggutor,3,1,0,0,1,2,12,7
206,137,58,51,68,49,396,1.0,0.6,1.02,1.0,3.77,0.51,1.91,1.05,0.22,0.99,1.0,1.97,2.01,1.0,0.1,0.38,0.47,0.97,491,1.2,1380.1,10.6,179,4.43,30720,243,Available; Lightning Rod; Swift Swim; Water Veil,Electric,,Fire Pig,Mega Ampharos,8,0,1,0,0,6,12,5
27,74,51,127,116,40,339,0.5,1.97,1.02,0.01,2.02,0.54,1.87,2.02,0.5,0.42,0.17,0.25,3.23,0.4,1.0,0.59,1.98,1.01,676,1.5,30.7,19.5,131,7.16,5164,33,Competitive; Frisk; Shadow Tag,Ground,Fairy,Fire Horse,Mega Manectric,1,0,0,1,0,4,9,3
61,61,69,116,105,94,500,1.0,0.47,2.02,0.52,3.91,0.62,0.52,0.47,3.49,0.97,0.0,0.57,1.96,0.5,2.0,1.02,1.01,1.91,898,0.5,2160.2,99.4,110,87.19,29013,487,Cloud Nine; Natural Cure,Poison,Ghost,Dragon Orb,Family of Four; Family of Three,7,1,0,0,3,10,12,6
50,68,177,53,141,92,346,0.0,4.0,1.99,0.05,4.0,0.95,0.04,1.01,0.64,0.32,1.01,0.53,3.38,1.9,0.1,0.25,0.44,3.67,175,5.7,143.0,39.0,77,81.06,5179,25,Volt Absorb,Ice,Fighting,Icy Snow,Alolan Raichu,2,0,0,0,1,1,12,2
74,98,109,74,72,64,517,0.12,1.02,0.44,3.13,0.96,2.07,0.0,0.18,0.99,1.99,1.98,4.0,4.0,0.0,2.0,1.0,0.48,0.48,219,2.5,133.8,74.5,247,77.69,5972,123,Available; Storm Drain; Swift Swim; Water Veil,Psychic,Normal,Licking,Alolan Golem,1,0,0,0,0,1,11,3
74,135,146,69,53,44,347,0.52,1.03,2.1,0.0,0.99,1.92,0.59,3.81,0.74,0.38,1.0,0.57,1.96,2.0,0.0,0.25,0.99,0.46,1668,1.6,49.4,461.3,10,3.12,7574,96,Illusion,Normal,Water,Bite,Alolan Marowak,5,0,0,0,0,2,15,2
55,93,102,56,118,75,495,1.0,0.56,3.65,0.49,1.97,3.98,2.07,1.99,0.16,1.0,0.21,0.53,3.52,1.0,0.1,2.03,0.53,2.01,1257,0.6,24.0,75.4,59,88.14,4993,3,Pure Power; Telepathy,Steel,Dragon,Beehive,Alolan Geodude,1,1,1,1,1,4,16,4
47,130,149,62,116,126,312,1.0,1.05,0.25,1.02,1.01,4.0,0.61,0.0,4.0,0.49,0.54,1.05,0.96,1.9,1.0,0.37,0.99,4.0,206,1.2,414.3,0.1,249,5.59,30720,14,Run Away; Stakeout; Unburden,Flying,Fairy,Long Leg,Mega Mawile,7,0,0,0,0,4,12,2
84,143,116,44,38,29,415,0.16,3.59,2.09,0.0,0.25,4.0,0.97,1.92,0.61,2.05,0.17,1.0,0.52,1.0,1.0,1.0,0.53,0.25,297,4.7,322.3,138.4,41,7.77,7236,170,Mold Breaker; Sheer Force,Normal,Fire,Longevity,Sunny Form; Rainy Form; Snowy Form,4,1,0,1,1,10,6,6
43,95,94,80,59,34,639,0.5,2.08,0.45,3.0,0.95,0.43,1.99,0.98,0.69,0.49,2.08,1.78,2.02,1.9,1.9,0.49,0.44,4.0,672,0.3,681.7,408.4,59,80.43,4783,31,Rattled; Slush Rush; Snow Cloak,Poison,Rock,Proud,Sunny Form; Rainy Form; Snowy Form,2,0,0,0,1,2,16,2
96,70,170,45,122,33,523,1.0,1.03,4.0,0.4,0.98,0.97,0.97,0.1,2.16,0.97,1.0,1.03,2.03,0.5,2.0,0.47,0.99,2.64,267,1.5,1574.9,1.6,200,17.86,5448,51,Flame Body; Flash Fire; Steam Engine,Dragon,Fire,Patient,Full Belly Mode; Hangry Mode,3,1,1,0,2,3,9,2
78,118,92,53,99,77,475,0.48,0.48,1.99,3.45,4.0,0.48,2.05,0.05,2.1,2.05,0.04,1.95,0.46,2.2,2.0,1.02,0.5,0.6,59,0.7,31.3,440.2,103,19.35,26872,43,Available; Pickup; Run Away; Vital Spirit,Bug,Electric,Water Lizard,Green Plumage; Blue Plumage; Yellow Plumage; White Plumage,3,1,1,1,2,4,8,6
59,75,86,33,79,66,590,0.0,1.0,0.48,0.99,0.25,1.91,0.0,2.14,4.0,1.03,0.49,1.0,1.01,1.0,1.0,2.09,0.32,0.98,5462,1.0,47.9,19.2,119,8.6,4040,179,Available; Compound Eyes; Tinted Lens,Flying,Rock,Disguise,Alolan Raticate,3,0,0,0,0,6,16,1
100,83,195,129,66,105,493,1.0,0.5,1.01,3.7,0.53,3.6,1.0,0.31,0.0,0.56,0.47,0.28,1.0,0.5,0.5,2.04,2.02,0.52,111,2.0,35.1,50.4,67,88.14,27414,3,Intrepid Sword,Bug,,Leaf-Wrapped,Mega Alakazam,3,1,0,0,1,2,8,7
41,57,60,57,90,56,492,1.0,0.96,3.92,1.01,0.32,0.96,1.03,0.04,1.03,0.99,0.09,3.36,2.06,0.5,0.5,1.99,0.5,1.01,2221,6.1,53.3,57.3,129,6.29,7176,259,Ice Face,Ground,Ice,Launch,Paldean Wooper,3,1,0,0,2,2,5,1
